hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-02 03:00:00.000 UTC,18548.156616600994,69,5221.293261029999,3138.69447875248,19,5942.518322392762,3623.329251667809,30,0.0,0.0,0
2024-01-02 04:00:00.000 UTC,11298.788780972583,74,2157.25208191,2247.5495513500005,23,2587.7997665893995,1586.6945715817694,30,0.0,0.0,0
2024-01-02 05:00:00.000 UTC,10643.4522764163,79,1370.1710920315911,4046.622214612621,39,2646.680666800239,17.455174033698036,21,0.0,0.0,0
2024-01-02 06:00:00.000 UTC,7876.606428345876,50,3713.4510618,3640.70437687,18,921.6971620361564,959.9130073733044,18,0.0,0.0,0
2024-01-02 07:00:00.000 UTC,11300.353658466693,37,4958.885459810001,631.75967766,18,1120.1184710803336,2.7543598351031195,9,0.0,0.0,0
2024-01-02 08:00:00.000 UTC,15962.259005908478,60,158.91828177973784,6375.47238946105,16,3069.7546799002266,3193.6313728932464,25,0.0,0.0,0
2024-01-02 09:00:00.000 UTC,8906.842934525912,42,3032.63561821,1860.31517302,17,843.7764346035522,990.3961077272608,10,0.0,0.0,0
2024-01-02 10:00:00.000 UTC,21423.885374163896,46,420.5765880680037,219.84595763,18,817.5907557990397,35.15204724667494,8,0.0,0.0,0
2024-01-02 11:00:00.000 UTC,19404.946822060327,57,5326.19772637,10623.94379713257,23,1075.1902826289142,832.2401806849639,15,0.0,0.0,0
2024-01-02 12:00:00.000 UTC,23152.60192697758,63,3062.27967625,4070.719413750001,15,6012.124903889706,5256.507452011158,24,0.0,1.951670864663665,1
2024-01-02 13:00:00.000 UTC,6175.773737958147,56,1177.2370289812015,1439.6005015823512,25,1225.534109662094,92.47888662264852,14,0.0,53.0,1
2024-01-02 14:00:00.000 UTC,28711.16619948845,88,1924.26695637,5131.875943149999,36,3411.857385420186,914.3071831401634,21,0.0,0.0,0
2024-01-02 15:00:00.000 UTC,10165.18192805237,53,676.80463938,1242.94855727,20,1100.2291173171884,2072.536075948141,16,630.37,0.0,3
2024-01-02 16:00:00.000 UTC,11696.36589439941,57,3238.83997417,1989.153889751296,18,1945.3212365194163,1968.4066183368195,22,1331.86231032,2100.0,2
