hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-09-26 07:00:00.000 UTC,354421587.1870066,5898,127693692.89093605,131485757.146895,2212,12980579.179007998,10767592.768555006,562,4087002.026782,305000.0,3
2024-09-26 08:00:00.000 UTC,287613141.4070874,6049,78897435.28388204,74920324.37269399,2300,8617393.209526002,6871020.678179002,782,4108232.24,14397.116884,3
2024-09-26 09:00:00.000 UTC,233537493.96855813,6273,72286686.7644351,71402511.69288105,2251,7784309.121725001,8276769.230128,958,5899499.0,1800000.0,5
2024-09-26 10:00:00.000 UTC,361147037.38898855,7031,100198198.2371371,97486018.76104604,2538,21978745.07347301,22173963.266851004,1174,0.0,403211.163955,2
2024-09-26 11:00:00.000 UTC,385951187.5527752,6757,107761628.61266382,112213447.88698694,2518,16074934.213391004,25337456.824608974,860,1040806.4003,12676227.2588,8
2024-09-26 12:00:00.000 UTC,260945497.96863988,6939,61417742.65155697,75852203.32564303,2694,13219884.845610002,12892815.228954002,881,0.0,0.0,0
2024-09-26 13:00:00.000 UTC,417436483.4830852,6675,126575368.52369598,153837661.48607588,2583,16471835.817199994,13196612.941974012,840,5270591.862686,7906840.142686,6
2024-09-26 14:00:00.000 UTC,364173947.60583735,7254,132417820.1646829,123478832.437902,2701,14815756.046347989,16152662.797328005,1076,7680496.0,10515295.453176,9
2024-09-26 15:00:00.000 UTC,286948416.736956,7082,76982722.881498,54371722.17104002,2727,28977721.06457101,30167382.333315007,1024,391703.514697,1268531.58,4
2024-09-26 16:00:00.000 UTC,448041292.1226872,6434,155288942.98560303,186383627.43529305,2546,23055686.922041982,20683095.963243,1022,29103977.14,12000000.0,5
2024-09-26 17:00:00.000 UTC,452622523.0162575,6439,204652111.2257523,183838033.0476467,2550,26761801.316837005,34780599.38134502,882,149962.6453,17103977.200999,7
2024-09-26 18:00:00.000 UTC,250293082.2027989,5975,70590976.69737598,83754189.14118002,2453,8077342.514392996,7809539.454865997,717,499994.92175,0.0,1
2024-09-26 19:00:00.000 UTC,227264887.66865748,6116,75725629.23184797,39450497.18416701,2398,11654038.271174,16997250.135673005,724,0.0,2561022.8359100004,4
2024-09-26 20:00:00.000 UTC,212473385.24236757,4761,116009340.38140398,87398457.80041109,1831,4432006.814413999,6530519.178068998,610,236000.0,0.0,2
2024-09-26 21:00:00.000 UTC,139388641.04791385,4765,56128642.81251594,60379363.45246898,1790,6364509.895769003,7735381.390819995,594,1126200.18634,0.0,2
