hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-01 00:00:00.000 UTC,705367.3547435476,91,203711.92952040504,375748.8088935301,60,9692.958326542555,11864.96938963443,10,0.0,0.0,0
2024-01-01 01:00:00.000 UTC,593320.3396712078,59,224267.94303835183,220680.48791601,41,2949.1172941819063,1507.3401716157323,2,0.0,0.0,0
2024-01-01 02:00:00.000 UTC,599183.6372068942,48,284895.34533973003,92926.31977088,21,5311.210676585442,29811.062570970294,15,0.0,652.6850095340421,1
2024-01-01 03:00:00.000 UTC,4278050.374763746,85,1602902.575370361,1348992.29287011,50,4900.363040601871,18119.28290683411,10,0.0,0.0,0
2024-01-01 04:00:00.000 UTC,1285026.9224906838,75,405475.4998199481,773457.1102980298,37,13569.098937579502,14026.203276806154,8,0.0,0.0,0
2024-01-01 05:00:00.000 UTC,2747842.5155691262,107,741755.6957484103,640342.7671812699,39,56352.43883187464,26283.029319333127,30,0.0,0.0,0
2024-01-01 06:00:00.000 UTC,4200617.031590543,87,3297545.236600972,2582988.99511542,70,1189.6485962445408,10742.826548601568,4,0.0,0.0,0
2024-01-01 07:00:00.000 UTC,9658906.53544773,100,828680.1985884388,339684.58434945,33,26280.926432451288,2773.0776608767023,12,0.0,0.0,0
2024-01-01 08:00:00.000 UTC,329807.0037441784,47,78768.84105085999,170441.0611461,26,3845.398512778184,2881.508202059335,7,0.0,0.0,0
2024-01-01 09:00:00.000 UTC,1435040.7481647902,48,337177.080402449,462201.08809470007,25,4376.208401482846,7953.641936800973,7,0.0,0.0,0
2024-01-01 10:00:00.000 UTC,823792.9060948056,32,728025.5593831798,91069.50823271,15,0.0,87.85515491811438,1,0.0,0.0,0
2024-01-01 11:00:00.000 UTC,304374.54914939613,34,159491.20342606964,99710.9790830918,26,6001.826415452291,1937.6491512124571,3,0.0,0.0,0
2024-01-01 12:00:00.000 UTC,180636.04308771028,20,104656.76362821,59096.6297294,13,0.0,2274.985631890323,1,0.0,0.0,0
2024-01-01 13:00:00.000 UTC,149991.6198480739,31,78979.95057514,44217.36510272,18,1070.4665501345794,3489.296221032427,4,0.0,0.0,0
2024-01-01 14:00:00.000 UTC,211641.17396596176,37,92514.84605887793,54513.98705511,23,5981.409303055672,3769.2313032997968,8,0.0,0.0,0
2024-01-01 15:00:00.000 UTC,699136.0294759079,51,43601.02567261,304261.1602891896,21,27863.184897820945,14901.824128803377,12,0.0,448.73794742910366,1
2024-01-01 16:00:00.000 UTC,1450574.5608831707,56,536501.41131493,422407.3698955199,32,4736.159167073288,7521.861266160899,8,0.0,0.0,0
2024-01-01 17:00:00.000 UTC,371641.4552584498,45,148880.3496468461,120778.04040223,29,0.0,4042.0009371790375,3,0.0,0.0,0
2024-01-01 18:00:00.000 UTC,6442350.980948406,64,384352.5680266639,5823599.289539382,42,2448.4369386998183,14116.641114691063,9,0.0,239.3001249281486,1
2024-01-01 19:00:00.000 UTC,261124.95983945756,28,195332.62397609,52830.38583589742,20,254.4687706071265,508.937541214253,1,0.0,0.0,0
2024-01-01 20:00:00.000 UTC,578130.3524361955,52,106646.60845157588,178706.18174959,29,4013.016614539131,3997.3608883930274,4,0.0,0.0,0
2024-01-01 21:00:00.000 UTC,318499.59982977767,60,203858.54111535,51056.50066836887,37,9063.846554375112,5637.692963832213,8,0.0,0.0,0
2024-01-01 22:00:00.000 UTC,315115.11261676834,51,166354.0924986696,70576.98774835998,27,1900.650665540603,1821.4678774606032,4,0.0,0.0,0
2024-01-01 23:00:00.000 UTC,641543.8585552769,57,73948.5688884389,161597.16348198324,29,2245.882085822858,749.9099742046878,5,0.0,0.0,0
2024-01-02 00:00:00.000 UTC,532120.9876341103,53,254742.71659885,165656.68510003854,31,3779.033196556055,368.6632490481064,3,0.0,0.0,0
2024-01-02 01:00:00.000 UTC,1366555.1135789915,95,209807.9702564641,290618.8821445764,54,86361.4131289275,91709.86118777248,14,0.0,0.0,0
2024-01-02 02:00:00.000 UTC,4555864.373525738,77,3591029.6984403064,2658034.661523294,51,2983.734536038848,1599.233056535738,5,0.0,0.0,0
2024-01-02 03:00:00.000 UTC,411750.26365480886,38,134756.74209191,190979.41204493,20,3576.248689069181,130.31609639811003,7,0.0,0.0,0
2024-01-02 04:00:00.000 UTC,606841.1163037934,37,291879.06532550004,252479.99361249027,27,957.3855140842444,3123.621424855427,3,0.0,0.0,0
2024-01-02 05:00:00.000 UTC,1020116.9916989591,75,157191.14073508693,662340.38583095,50,1644.1857339885928,1000.0205423654146,3,0.0,0.0,0
2024-01-02 06:00:00.000 UTC,2906292.8308827914,72,958826.89991416,207499.74165734003,42,7313.314008286554,962.3327936487522,7,0.0,598.1299999999999,1
2024-01-02 07:00:00.000 UTC,784424.38366531,57,308257.8410989905,175162.64703446353,34,122.84224015821935,0.7842779920180335,2,0.0,0.0,0
2024-01-02 08:00:00.000 UTC,989294.3691968932,58,156420.30273383335,200773.1956025033,31,20425.00475661983,8868.266527624335,8,0.0,0.0,0
2024-01-02 09:00:00.000 UTC,1403566.5831092114,52,517013.5370846301,534483.36858676,31,135.70136962010562,8489.191103731568,4,0.0,0.0,0
2024-01-02 10:00:00.000 UTC,1991521.4184548976,70,1239433.6382413472,769712.5244659961,43,3050.451535924105,1775.889329475859,3,0.0,0.0,0
2024-01-02 11:00:00.000 UTC,1180922.349522513,63,443934.5136396,219695.07414081,31,424.17834779,393.5041625,4,0.0,0.0,0
