hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-01 23:00:00.000 UTC,1072217.7888278218,43,577075.94129792,436361.67726798,30,58242.7954926824,3316.668106665488,6,0.0,0.0,0
2024-01-02 00:00:00.000 UTC,4629808.740514183,105,3193055.3978992403,3130961.20713073,23,42373.30795756456,55166.64610784176,23,0.0,0.0,0
2024-01-02 01:00:00.000 UTC,5961853.305917813,134,2519487.6394872647,1668435.42471851,38,28129.82016124925,79101.75017086897,11,0.0,0.0,0
2024-01-02 02:00:00.000 UTC,1716756.430673257,40,1323986.7536810152,233115.89772841,23,3355.9352736115334,4542.560245079962,5,0.0,0.0,0
2024-01-02 03:00:00.000 UTC,4021330.890093579,69,1697125.61775923,1460877.43169759,31,24465.158895808683,448.0733119129794,6,0.0,0.0,0
2024-01-02 04:00:00.000 UTC,10085458.892865514,60,5429441.976154655,8529680.881199034,26,112.37776924589154,0.0,1,0.0,0.0,0
2024-01-02 05:00:00.000 UTC,6461318.567019489,57,474597.27450884,1441092.06694999,21,0.0,255.55502728947224,1,0.0,0.0,0
2024-01-02 06:00:00.000 UTC,12944381.8289699,71,1553421.18224125,1749107.94909654,33,198124.567360679,140915.8421871748,12,0.0,0.0,0
2024-01-02 07:00:00.000 UTC,1946609.1142338451,82,1003244.36649336,514336.4102407761,46,9695.499757142295,9567.289683414414,11,0.0,0.0,0
2024-01-02 08:00:00.000 UTC,9692514.216421911,95,7644989.927930698,6968159.422223887,56,4843.769738300291,4707.770998953581,5,10220.000000000002,0.0,1
2024-01-02 09:00:00.000 UTC,2649202.4944765475,114,960901.7398259,972777.31762118,55,29613.637448160724,74884.19295285126,8,0.0,6000.0,1
2024-01-02 10:00:00.000 UTC,6080239.443306013,87,1137912.1079167798,287583.77732620004,35,5672.36759110035,41502.23808042514,5,0.0,0.0,0
2024-01-02 11:00:00.000 UTC,4284221.918823342,84,1878046.0797481912,2004548.9224739207,38,19755.30745841209,19704.813147766195,11,0.0,0.0,0
2024-01-02 12:00:00.000 UTC,2475130.0375536685,95,1028031.4663037,728207.23843506,42,73964.45729838747,56535.07178527899,14,0.0,0.0,0
2024-01-02 13:00:00.000 UTC,861419.8715202754,60,436948.7660871003,159089.58032047,31,2038.431735644248,4712.649861347713,5,0.0,0.0,0
2024-01-02 14:00:00.000 UTC,1094527.1119898574,71,251324.24274548,439596.6999016132,38,42319.99726322276,0.0,8,0.0,0.0,0
2024-01-02 15:00:00.000 UTC,1885485.840932648,30,545189.60014914,300801.09459463,15,19611.079160201483,253.47599257522285,4,0.0,0.0,0
2024-01-02 16:00:00.000 UTC,1920257.460682592,57,462309.0318435501,767848.2259019201,31,1405.580795139532,1405.580795139532,1,0.0,0.0,0
2024-01-02 17:00:00.000 UTC,4389075.392057776,66,1921583.72302515,1512633.32054452,24,7376.17415325773,33493.78984009367,10,0.0,0.0,0
2024-01-02 18:00:00.000 UTC,1819683.9149856928,38,1060292.23758549,305946.433937034,18,1770.2917317512813,3819.378051649985,8,0.0,0.0,0
2024-01-02 19:00:00.000 UTC,624867.7548139426,34,442241.32750565,133896.3366143,21,739.4765347351673,12460.07447236594,7,0.0,0.0,0
2024-01-02 20:00:00.000 UTC,954970.697026486,32,478966.86648350005,439882.71839011007,19,6526.616731698217,212.1344220044104,5,0.0,0.0,0
2024-01-02 21:00:00.000 UTC,1251859.0925483275,53,176767.740189982,611089.69143433,14,15001.709876124423,61371.580673969525,6,0.0,0.0,0
2024-01-02 22:00:00.000 UTC,1202646.5993199863,41,563394.9261768501,2605.25948909,12,103014.99518169044,3923.0,3,0.0,0.0,0
2024-01-02 23:00:00.000 UTC,907673.656882414,26,619759.8105371415,63529.84333525806,16,0.0,18352.748833563062,3,0.0,0.0,0
2024-01-03 00:00:00.000 UTC,988953.533314398,61,420872.56427403,72051.16017274,21,1407.5319859487215,54115.43474942936,13,0.0,0.0,0
2024-01-03 01:00:00.000 UTC,1924713.0052704024,55,1060189.0765059956,654068.94001311,30,30228.84560668095,3518.331166365469,6,0.0,0.0,0
2024-01-03 02:00:00.000 UTC,11864664.789002126,51,115893.192148412,737385.3116040601,17,52610.76441290758,46700.94830368122,8,0.0,0.0,0
2024-01-03 03:00:00.000 UTC,2023598.4708626736,85,553031.35175701,176634.90821619998,11,101108.5659119655,17033.29058072427,24,0.0,0.0,0
2024-01-03 04:00:00.000 UTC,2384097.245064561,47,1515464.032432375,668692.1985800129,30,1000.0,11489.016860511683,3,0.0,0.0,0
2024-01-03 05:00:00.000 UTC,854096.2649129919,30,299153.59246463,345016.01679901994,13,872.938935032801,0.0,3,0.0,0.0,0
2024-01-03 06:00:00.000 UTC,1259268.5247281834,38,537318.7339035401,475865.34542579,17,453.8699872954042,6569.522852268784,6,0.0,0.0,0
2024-01-03 07:00:00.000 UTC,1191182.120461332,29,674142.24523313,379731.40174789,14,1425.8240364391024,916.5295056732492,7,0.0,0.0,0
2024-01-03 08:00:00.000 UTC,4083939.098957756,40,3139316.7222295096,3267491.5292144497,19,379.7215624036711,252.63731376770653,4,0.0,0.0,0
2024-01-03 09:00:00.000 UTC,2178964.176527634,49,564130.80540856,1094249.96974956,14,398.3500241026819,17397.673335123465,5,0.0,0.0,0
2024-01-03 10:00:00.000 UTC,3158461.721777357,28,402600.0450509201,120484.23286972,14,61.0,41198.11866110279,3,0.0,0.0,0
2024-01-03 11:00:00.000 UTC,1130680.4789775717,49,477845.95364432,533694.49739089,30,23299.5718350911,0.0,3,0.0,0.0,0
2024-01-03 12:00:00.000 UTC,6937421.522807947,146,1214225.81658405,973282.31611841,40,1392082.795325632,445460.1586360754,51,0.0,0.0,0
2024-01-03 13:00:00.000 UTC,7857124.62075397,111,1625799.2032451248,1172921.8591075,67,1414870.2110068602,54249.33744967129,15,0.0,0.0,0
2024-01-03 14:00:00.000 UTC,4672921.150040323,198,1954461.295726309,2125869.77666213,161,125471.26270615804,56977.72171585311,9,0.0,0.0,0
2024-01-03 15:00:00.000 UTC,2188317.64039811,58,850045.46779411,245290.6142072026,26,10263.598671847009,144981.8662841072,7,0.0,0.0,0
2024-01-03 16:00:00.000 UTC,7572106.696172904,65,780441.89683335,2315038.7128003007,29,25.932037992199863,25.932037992199863,2,0.0,0.0,0
2024-01-03 17:00:00.000 UTC,4447354.265631609,47,2227753.24271538,2019179.39099,29,22741.468041146996,8661.999058314275,8,0.0,0.0,0
