hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-01 21:00:00.000 UTC,97033831.7054299,75841139.96938753,12149,48679.60775086463,41699.14547741858,3,39022013.34655756,37034363.46108435,2456
2024-01-01 22:00:00.000 UTC,71983036.26823491,64514652.45939267,11422,30375.28938070283,56843.167043004534,7,24177836.28836096,24043545.76364352,2359
2024-01-01 23:00:00.000 UTC,132455984.32105573,149420129.74374613,10251,2400.305613290475,1254499.7763163701,9,69067087.08444647,77149310.16221833,2183
2024-01-02 00:00:00.000 UTC,231714013.02518028,232969902.03396413,10614,10274302.510503905,12451723.813310338,28,161535296.5815132,164483342.3146704,2365
2024-01-02 01:00:00.000 UTC,391765518.57164174,361160618.00580645,12485,5363647.672680661,6506686.442682231,20,286479339.5952349,242882725.1612942,2532
2024-01-02 02:00:00.000 UTC,263483759.4954914,242827893.64242142,12131,1227648.3634251182,4176877.102413477,19,191736842.01382568,171049522.39422408,2304
2024-01-02 03:00:00.000 UTC,312014682.1762955,307468861.5066244,10774,3109409.3342524096,6714989.499510761,14,270508272.8401455,265445927.45337626,2265
2024-01-02 04:00:00.000 UTC,395943694.85977,293164782.985695,10639,7752456.165222553,6832130.379856943,15,295340393.9284251,212222900.37417203,2164
2024-01-02 05:00:00.000 UTC,142668257.47284773,116714217.25132847,15923,0.0,3448839.7923604385,6,97762071.48870245,68556432.18559638,3122
2024-01-02 06:00:00.000 UTC,167962951.98751706,146520852.26514095,11452,2662564.326112635,1359071.1464249021,14,112871598.12800303,95747648.16628666,2463
2024-01-02 07:00:00.000 UTC,175984293.11583087,155273006.0036778,10450,44173.02339979949,2282640.0295965783,11,117597179.14230518,115605969.39797561,2225
2024-01-02 08:00:00.000 UTC,213759050.71777642,249432301.9680127,11676,343737.10223009647,979187.6576084292,12,127580235.39231694,126198118.26790395,2649
2024-01-02 09:00:00.000 UTC,135988367.2188339,115398500.91753453,12045,7104496.763127986,10464191.647193471,17,49503216.446154095,58558084.14322336,2941
2024-01-02 10:00:00.000 UTC,499662399.1100518,209033555.87089542,16366,2942885.0778834242,1301901.8028203212,16,401217482.81009465,117722879.990939,5315
2024-01-02 11:00:00.000 UTC,133102992.13995881,128957700.8446992,16906,619355.8325869642,4359580.215878178,18,92132429.3462821,72247651.7659057,5690
2024-01-02 12:00:00.000 UTC,291850176.108406,288069410.0451768,12892,1376151.4860999538,2583644.8715037964,19,236277362.86380708,228269496.23593202,3328
2024-01-02 13:00:00.000 UTC,337354158.7351721,493408586.01800644,13173,643002.2771700786,8131455.989986711,17,188025250.07777852,224701422.2752874,3371
2024-01-02 14:00:00.000 UTC,459951586.83538556,445117176.56200725,13973,39599059.36126576,22740351.342222415,27,366948653.65457916,354579439.45413005,3523
2024-01-02 15:00:00.000 UTC,440473966.6379366,393843255.0928783,12387,54802645.01207101,67121656.62967879,51,221172722.8746397,293488939.6486045,3745
2024-01-02 16:00:00.000 UTC,339687962.6601312,466750755.64481074,12070,22865220.250054803,5968279.67039127,35,268359173.34125,288893684.11209285,3685
2024-01-02 17:00:00.000 UTC,391682890.7532665,366259318.6017137,11652,42055854.56772707,22156170.54847299,36,271127392.36265117,234274627.82909548,3329
2024-01-02 18:00:00.000 UTC,259477181.44006947,284211338.5172373,13298,36581047.16453721,51655338.34388569,41,177444344.96213144,194978054.73108554,4052
2024-01-02 19:00:00.000 UTC,430140485.3329774,457259413.6362895,12764,10035624.506383246,29126590.83121313,39,379515292.36550087,392375300.7181977,3499
2024-01-02 20:00:00.000 UTC,421307113.54894096,269024015.02424365,13592,19698564.464889336,8519491.026770823,21,130993837.81952307,124807353.14022304,3456
2024-01-02 21:00:00.000 UTC,270149744.19264764,201385512.6415862,12087,12271377.1932391,22539477.356037356,18,178668787.68410468,139142360.16051155,3141
2024-01-02 22:00:00.000 UTC,176452350.38027677,130005520.86458151,11206,5786389.863791279,7669567.650508545,29,132698751.63342269,89175150.87387563,2681
2024-01-02 23:00:00.000 UTC,237692724.02828076,292230345.81705433,12187,20239.24753475332,804324.9113740058,7,145880242.12969932,214984708.6960153,2853
2024-01-03 00:00:00.000 UTC,172318057.79535985,175205306.84512204,9062,19886686.059867356,501013.9101144781,12,136859253.94691798,123817810.60781914,2170
2024-01-03 01:00:00.000 UTC,157930480.4430593,178422952.14336956,13036,454038.18761232344,4469853.590142723,13,98288523.3807176,122237139.71377921,3462
2024-01-03 02:00:00.000 UTC,200318457.05850294,202723073.23705345,9505,4828421.449771483,5005697.500000002,7,137669647.56887442,148277823.54139245,2217
2024-01-03 03:00:00.000 UTC,184462321.96044514,185459937.8523053,9544,17609488.759671934,6587181.380109782,14,138133249.01434478,119185184.9921497,2379
2024-01-03 04:00:00.000 UTC,78896623.63650288,81415846.85772419,8050,1501679.116002,59.583932152942836,3,43131983.11808301,41630971.849051714,1967
2024-01-03 05:00:00.000 UTC,311900177.62774277,243010994.68184954,8297,30038309.586619057,10572045.9180146,14,200192216.6926841,187720263.64518833,1895
2024-01-03 06:00:00.000 UTC,335395765.0202676,337165176.9143133,9386,47070191.788103774,35356285.313640386,14,255531269.12948847,247357479.3612876,2465
2024-01-03 07:00:00.000 UTC,253551141.02653614,231637422.92474726,10607,12339019.943657648,119315.46650386394,8,178305720.207721,185860757.82327142,2619
2024-01-03 08:00:00.000 UTC,222890529.8787847,228266055.5931731,9136,14034985.238773387,56865661.16421944,43,135722895.58832818,136577004.27164406,2584
2024-01-03 09:00:00.000 UTC,137718302.23717383,133162559.68381803,10342,1815.1413908765148,1455133.5036362766,8,83255955.82479697,66788810.7226571,2757
2024-01-03 10:00:00.000 UTC,177407876.80327746,141451570.54991853,11232,6404760.236421955,9373907.358933635,18,56887758.11540746,57711437.76656909,3035
2024-01-03 11:00:00.000 UTC,197202659.6103773,199175594.2543179,11133,3031862.1456432734,18687968.163609855,14,118295531.94910032,101283285.27536194,3160
2024-01-03 12:00:00.000 UTC,378617663.80055696,487529471.79845726,16057,5784289.686157156,5459409.709071408,15,183270497.4334209,210320697.29342076,4023
2024-01-03 13:00:00.000 UTC,568648671.2026604,504322791.41065264,19872,2863862.114041999,12746099.20923852,28,345254833.8381363,268635857.33166385,5478
2024-01-03 14:00:00.000 UTC,375840872.3903334,464168431.65586966,16846,27206052.55144404,7897034.8735607285,29,232775450.18738884,306340720.97603804,4877
2024-01-03 15:00:00.000 UTC,848029109.712373,773938125.2143652,16771,67414640.49488534,50087803.21641126,44,579175963.026848,495918358.6670743,4845
2024-01-03 16:00:00.000 UTC,555830032.1803062,517449451.2297571,15710,41664700.79181883,54586160.29785904,41,377385205.03624225,349026351.41933566,4650
2024-01-03 17:00:00.000 UTC,558030429.5723362,588551926.5070971,13608,29120554.461039394,31130952.544934712,50,412242385.88418746,427118384.82745796,3740
2024-01-03 18:00:00.000 UTC,527619449.0353976,551433092.6856585,12333,75235232.52964547,70483419.98558871,47,368959726.52901214,390674919.67932945,3406
2024-01-03 19:00:00.000 UTC,311342122.7886748,264816684.04011196,11763,30557684.377370957,21379566.175340153,27,224017962.14459637,187176427.9477804,3210
2024-01-03 20:00:00.000 UTC,543141153.713432,538469060.2908657,12689,18084154.31117175,23194706.44888929,25,453101593.0940013,453770198.0626055,3332
2024-01-03 21:00:00.000 UTC,239707957.41842836,240212916.64051872,11566,6441319.945362286,8020212.4035234265,26,175726915.91413298,168806464.43388695,3092
2024-01-03 22:00:00.000 UTC,117794954.58345677,110243514.50897199,9382,4405213.542076169,8756860.298839489,27,59564805.57055592,43243233.4332556,2185
2024-01-03 23:00:00.000 UTC,168223061.11457956,177305849.03583595,9863,4776738.362489708,3419082.6399347987,24,102256099.76099406,112759976.67490727,2258
2024-01-04 00:00:00.000 UTC,210944575.95378602,172053294.24254712,9419,501487.21285571647,20495.097866820564,5,83166405.54481019,80658964.6862029,2003
